uuid,name,rating,businessHour,address,latitude,longitude,pricing,max_price,min_price
0026b87ef8b8e3344c4b24e7960fa436104,Kway Guan Huat Joochiat Popiah Shop,3.8,"{'openTime': '09:00', 'closeTime': '14:00'}","JOO CHIAT ROAD, 427389",1.314055,103.899118,,,
0021bb90f3fccd24b479f88850088a15dbe,Cat Cafe Neko no Niwa,4.5,"{'openTime': '11:00', 'closeTime': '21:00'}","#02-00, 049843",1.287188,103.849375,$12 ,12,12
0022f458c29dfdd461289c856112d50533b,Sri Veeramakaliamman Temple,4.6,"{'openTime': '05:30', 'closeTime': '12:30'}","141 Serangoon Road, 218042",1.308002,103.852218,,,
0024e917aa0db1547e2b3518e4884800386,Sri Layan Sithi Vinayagar Temple,4.8,"{'openTime': '07:30', 'closeTime': '12:00'}","Keong Saik Road, 089167",1.28136,103.84176,,,
0028a78cb67b5f94940b48001fddec94155,Spectra â?A Light and Water Show,4.7,[],"Event Plaza, Marina Bay Sands, 2 Bayfront Ave, 018972",1.2819667,103.8598454,,,
0026c7a309cb2be479ba150abcafdd3d5ba,Straits Enclave @ Joo Chiat,5,"{'openTime': '09:00', 'closeTime': '22:00'}","#A, Joo Chiat Road, 427569",1.3093334,103.9022326,,,
0026b26bbc2848546208964d69cf99b405b,Adventure Cove Waterpark (Resorts World Sentosa) ,4.4,[],"Adventure Cove Waterpark, Sentosa Gateway, 098269",1.25879,103.818662,"SGD38 (Adult), SGD30 (Child/Senior)",38,30
002e837c88982ec48b6a96914388183bef1,Chinatown Heritage Centre,4.4,[],"48 Pagoda Street,, 059207",1.28218,103.84415,,,
0026ec0a6536e2e4169a0ede02ad5cf2b5b,My Chinatown Home Mural,0,[],"30 Smith Street,, 058944",1.28218,103.84415,,,
002f6bc8aa5f94841a0881ca14b1b26d054,Masjid Jamae,4.7,[],"218 South Bridge Road,, 058767",1.28218,103.84415,,,
002a6480deabe5a4d0e9c8ffadfd148658d,Hotel 1887 (Former Lai Chun Yuen æ§æ¢¨æ¥å­),3.7,[],"25 Trengganu Street,, 058476",1.28218,103.84415,,,
002f99813a9270a48f2bffe1347fae5cd7a,Nagore Dargah,4.3,[],"140 Telok Ayer Street,, 068604",1.28218,103.84415,,,
